Network_name    Station_name    Latitude    Longitude   Elevation_km
IV  CAAM    40.820065   14.142049   0.170
IV  CBAC    40.810901   14.080570   0.77
IV  CFMN    40.832942   14.090403   0.92
IV  CMIS    40.778154   14.089047   0.134
IV  CMSN    40.838200   14.181800   0.20
IV  CMTS    40.831400   14.197200   0.40
IV  CNIS    40.798170   14.163176   0.50
IV  COLB    40.819016   14.144606   0.56
IV  CPIS    40.829224   14.146981   0.117
IV  CPOZ    40.821072   14.119110   0.52
IV  CQUE    40.885355   14.155414   0.109
IV  CSFT    40.829168   14.139635   0.151
IV  CSOB    40.826469   14.143963   0.223
IV  CSTH    40.829447   14.149329   0.108
